Date,Company,Category,Aircraft,Location,Description
5/13/2015,"Air-Mods Flight Training Center, Inc.","Education, Photo/Film","Hubsan X4, DJI Phantom 2, DJI Inspire 1",New Jersey,"UAS training and aerial photography, videography, and inspections."
5/14/2015,Airborne Information Systems dba Aerial Patrol Incorporated,Utilities/Energy/Infrastructure,DJI S900 Hexacopter,Arkansas,"Aerial photography, videography, thermal imaging, and inspection of electric transmission lines, electrical substations, gas pipelines, and associated telemetry equipment."
4/21/2015,AirCam Photography,"Photo/Film, Real Estate","DJI Phantom 2, DJI S900, DJI Inspire 1",California,"Professional marketing, field management, inspections, real estate, construction, and events in and around the Monterey Bay area."
4/3/2015,"AirRaid Aerials, LLC",Utilities/Energy/Infrastructure,CineStar 8,North Carolina,"Flare stack inspection, utility-power generation system inspections and patrolling, pipeline inspection and patrolling, filmmaking, cinematography, and videography, precision agriculture, wildlife and forestry monitoring, aerial surveying, construction site inspection and monitoring, and public entity support."
5/21/2015,"AirSHark, LLC","Utilities/Energy/Infrastructure, Construction",DJI Phantom Vision+,Vermont,"Infrastructure inspection such as solar farms, wind turbines, and construction projects."
5/29/2015,"Airspace Aerial, LLC",Real Estate,DJI Inspire 1,Ohio,Aerial photography and videography of real property.
2/3/2015,Alan D. Purwin,Photo/Film,Gryphon Dynamics X8 and DJI S1000,California,"Aerial filming, motion picture and television. (Amended 4/29/15)"
5/20/2015,Alan Scott Baley dba Sunshine State Housing Solutions,Real Estate,DJI Inspire 1,Florida,"Aerial inspection, photography and videography"
4/24/2015,"Alaska Aerial Media, LLC","Photo/Film, Government Contracting, Education","DJI Inspire 1, DJI S800, DJI S1000, Sensefly eBee RTK",Alaska,"Aerial videography and cinematography to enhance academic community awareness for those individuals and companies unfamiliar with the geographical layout of the Anchorage area, and pursue implementation of emergency use UAS systems with public entities. (Amended 6/23/15)"
6/17/2015,"Alaska Aerial Survey, LLC","Real Estate, Insurance, Utilities/Energy/Infrastructure",DJI Inspire l,Alaska,"Aerial photography and videography for real estate, insurance, utility, and telecommunications industries."
6/16/2015,"Alert5 International, LLC",Photo/Film,"DJI Inspire 1, DJI Phantom, DJI Matrix 100",Florida,"Aerial videography, cinematography, data collection, signal analysis, and concentration measurements."
5/19/2015,All Aerial Photography,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,Florida,Aerial videography and cinematography to enhance academic community awareness and to augment real estate listing videos.
6/2/2015,Alon Sicherman,"Photo/Film, Construction, Real Estate","DJI Phantom 2, DJI Inspire 1.",New York,"Aerial video and photography of construction sites, real estate, and landscape."
4/9/2015,Altavian Inc.,Manufacturer,Altavian Nova F6500,Florida,Aerial acquisitions and research over certain rural areas of the United States.
4/8/2015,"Altavian, Inc.",Manufacturer,Altavian Nova F6500,Florida,"Data collection for natural resources and conservation, construction and infrastructure, precision agriculture, and inspection and monitoring."
4/8/2015,Amazon.com,"Manufacturer, Scientific Studies",Amazon manufactured multi-rotor small UAS,Washington,Outdoor testing research and development for Prime Air.
6/1/2015,American Drones LLC,"Utilities/Energy/Infrastructure, Government Contracting","American Drones L.L.C. Falcon UAS, American Drones L.L.C. Phoenix UAS, American Drones L.L.C. Eagle UAS, American Drones L.L.C. Nighthawk UAS",Oklahoma,"Aerial acquisitions and research over rural areas of the United States, commercially, in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil and gas industries."
5/8/2015,American Drones LLC,"Manufacturer, Utilities/Energy/Infrastructure, Government Contracting, Agriculture, Scientific Studies, Conservation", American Drones L.L.C. Eagle UAS,Oklahoma,"Aerial acquisitions and research in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil and gas industries."
5/8/2015,American Drones LLC,"Manufacturer, Utilities/Energy/Infrastructure, Government Contracting, Agriculture, Scientific Studies, Conservation",American Drones L.L.C. Nighthawk UAS,Oklahoma,"Aerial acquisitions and research in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil and gas industries."
5/5/2015,"American Drones, L.L.C.","Utilities/Energy/Infrastructure, Scientific Studies, Conservation, Agriculture, Government Contracting",American Drones L.L.C. Phoenix 650,Oklahoma,"Aerial acquisitions and research in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil and gas industries. Aerial Photography, American Made Drone Shop. List of UAS: Phoenix 650, Nighthawk 550, Eagle 550, Falcon 550 (330 Exemptions for Nighthawk, Eagle listed on 5/8/2015)"
5/21/2015,AMK Services LLC,Utilities/Energy/Infrastructure,DJI Phantom 2,Ohio,"Inspections and monitoring for the public safety, pipeline construction, and communications industries."
6/1/2015,"Andar Enterprises, Inc.","Real Estate, Photo/Film", Yuneec Q500,Illinois,"Aerial photography, videography, and surveying of golf courses and real estate over selected areas of Illinois."
5/28/2015,Anderson Rojas Photography,Real Estate,Phantom 2 Vision +,New Jersey,"Aerial imaging, photography, and videography of properties"
5/26/2015,Andrew Dunn,"Photo/Film, Agriculture","DJI Inspire 1, DJI S900",Kentucky,"Aerial photography, cinematography, videography, mapping, crop surveying, inspections and other flight operations."
5/14/2015,"Apis Remote Sensing Systems, LLC",Agriculture,AgEagle,Kansas,"Precision agriculture, market research, surveying, mapping and inspection."
4/8/2015,"Arch Aerial, LLC","Agriculture, Photo/Film, Utilities/Energy/Infrastructure, Agriculture",Arch Aerial OCTO,Texas,"Agricultural survey, film production, property survey, aerial photography, pipeline survey, and for monitoring damage in the event of a natural disaster."
6/23/2015,"ArialMG, Inc.",Photo/Film,DJI Phantom 3,Illinois,"Aerial photography/Inspection/ included but not limited to the following; Business Operations: over land, water-ways, and oceans; operation over/in non-restricted National Parks, National Forests, flight in non-navigable airspace."
4/22/2015,"ArrowData, LLC",Photo/Film,CineStar 8 Okto XL,Nevada,"Electronic news gathering in Las Vegas, Nevada during active news, traffic and weather events."
5/14/2015,Ascent Aerial Video Productions,"Photo/Film, Education, Real Estate","DJI Inspire 1, Yuneec Typhoon Q500",Nevada,"Aerial photos, videography, and cinematography for academic community awareness, to augment real estate property listing videos, and video production to small businesses."
9/25/2014,Astraeus Aerial,Photo/Film,Astraeus Aerial Cinema System V.3CS UAS,California,Closed-set filming.
2/10/2015,Asymmetric Technologies,Utilities/Energy/Infrastructure,Microdrones md4-1000,Ohio,Bridge inspections.
6/9/2015,ATAC Global LLC,Photo/Film,DJI S900,Nevada,Aerial photography and inspection.
5/11/2015,"Atlantic Coast Conservancy, Inc",Conservation,DJI Phantom 2 Vision+,Georgia,"Aerial photography, mapping, surveying, and inspection."
4/8/2015,Auburn University Aviation Center,Education,DJI Phantom 2 Vision +,Alabama,Courses to instruct students in the operation of UAS.
5/21/2015,August Aerial Imagery,"Real Estate, Agriculture",DJI Inspire 1,Wisconsin,"Advertising and real estate videography and photography, precision farming, inspections, and search and rescue operations."
6/16/2015,"AUV, LLC",Photo/FIlm,"DJI Inspire 1, Steadidrone Mavrik, 3DR Solo",Arizona,Aerial photography and cinematography.
6/16/2015,"Avant Unmanned Aerial Solutions, LLC","Agriculture, Insurance, Construction, Emergency Services, Real Estate,","DJI Phantom 2 Vision Plus, DJI Inspire, DJI Phantom 3, Event 38 E384",Texas,"Remote sensing, aerial surveys, data and imagery collection for various industries and functions, including Agriculture, Insurance, Construction, Law Enforcement, Emergency Response, Planning & Asset Management, Engineering & Surveying, Promotion & Marketing, Environmental Monitoring, Real Estate & Land Development, Event Photography & Videography, Training & Education, Inspections, Transportation & Infrastructure."
5/13/2015,Aviation Systems Engineering Company,Education,"DJI Inspire T600, DJI Phantom",Florida,Technical demonstrations and training.
4/3/2015,Aviation Unmanned,Utilities/Energy/Infrastructure,"Vanguard Defense Industries ShadowHawk, MLB Company Super Bat",Texas,Power line inspections.
4/3/2015,Avigators,Agriculture,First Aerial Responder–Sight,Florida,Precision agriculture operations.
5/13/2015,"AviTronics Integrated Solutions, LLC",Photo/Film,"DJI Phantom 2 Vision, 3DRobotics IRIS",Texas,Aerial photography and digital cloud print surveys.
6/16/2015,"Axis Surveying, LLC","Agriculture, Real Estate, Construction","DJI Phantom 2 Vision plus, DJI Phantom 3 Vision, 3DRobotics X8‐M, 3DRobotics Aero‐M",Indiana,"Aerial photography, surveying, mapping, monitoring, and product demonstration."
6/29/2015,B & N Aerial Innovations,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,California,"Aerial photography for the real estate, media and advertising industries for pre-planned, controlled area, photographic and surveying services,"
4/8/2015,Balfour Beatty Construction Services,Construction,Skycatch,California,"Aerial imaging at construction sites. Inspect, photograph, and collect data on hard to get to areas that otherwise would require worker inspection."
5/29/2015,Barnett Associates Real Estate Team,Real Estate,DJI Phantom 2,Washington,Aerial photography and video for advertising real estate and homes.
5/15/2015,"Bartram Trail Surveying, Inc",Construction,DJI Phantom FC40,Florida,Surveying and mapping of secured and controlled vacant and under-development sites.
4/3/2015,"Bechtel Equipment Operations, Inc.",Construction,Skycatch,Texas,"Aerial imaging in construction operations, to inspect hard to get to areas that otherwise would require worker inspection."
6/30/2015,"BenMadeIt, LLC","Agriculture, Real Estate, Emergency Services","DJI Phantom 2 Vision+, DJI Phantom 3 Professional",Iowa,"Aerial photography and cinematography on farming sites, crisis situations with local law enforcement, enhancing real-estate listings and other such tasks for businesses in and around the state of Iowa"
5/5/2015,"Between the Peaks Aviation, Inc","Real Estate, Construction, Agriculture, Real Estate",DJI Spreading Wings S1000,Colorado,"Aerial data acquisition, photography, and film work in the areas of construction, agriculture, infrastructure, real estate, and other applicable areas."
5/21/2015,"BioSensing Systems, LLC",Agriculture,SenseFly eBee,Delaware,"Aerial imagery, inspection, and data collection services to help agricultural and farming companies make improved decisions on issues such as irrigation, fertilization, detection of diseases, calculate potential crop yield, and to analyze the impact of pesticides and fertilizers."
4/8/2015,Bird's Eye Solutions LLC,Photo/Film,DJI Phantom 2,Wisconsin,"Aerial photography, closed-set filming of motion pictures, and scientific data collection."
5/15/2015,"Birds Eye Aerial Drones, LLC","Real Estate, Utilities/Energy/Infrastructure","Team Black Sheep Discovery Pro, Tarot T15, and DJI Inspire",California,"Aerial filming and photographing to include: infrastructure inspections, aerial acquisition (mapping), real estate, and other applicable areas."
6/9/2015,"Birds Eye Aerial Photography, Inc.",Photo/Film,"DJI Spreading Wings S900, DJI Spreading Wings S800 EVO, DJI Phantom 3, DJI Inspire 1",Virginia,"Aerial photography, videography and photogrammetry services."
4/16/2015,"Birdseye Video, LLC dba BirdsiVideo",Real Estate,DJI Phantom 2,Indiana,Aerial videography and to augment real estate listing videos in various metropolitan areas
4/17/2015,bizUAS Corp,"Photo/Film, Utilities/Energy/Infrastructure","G4 Eagle, DJI Phantom 2, Altavian Nova F6500",Colorado,"Videography, cinematography, photogrammetry, and industrial inspections and analysis."
4/16/2015,"Blackwell Group, LLC",Utilities/Energy/Infrastructure,SenseFly eBee,Virginia,"Mapping and survey applications for natural resources, endangered species and plant life, topography, as-built construction conditions and progress, quarry and mining operations (noncongested areas)."
6/5/2015,"Blue Ridge Services, Inc.",Utilities/Energy/Infrastructure,SenseFly eBee,California,"Aerial observations and research over waste facilities with the intention of creating fill sequence plans, soil management plans, and other operational planning documents."
2/10/2015,Blue-Chip UAS,Photo/Film,Sensurion Magpie MP-1,Kansas,Aerial photography for a variety of industries.
6/23/2015,"BMS Aerial Photo, Inc",Utilities/Energy/Infrastructure,DJI Inspire 1,Ohio,"Aerial Imagery Collection and Aerial Mapping for uses such as; Environmental Impacts, Mining Activities and Monitoring, and Engineering Projects."
5/21/2015,BNL Technical Services LLC,"Conservation, Government Contracting","DJI Phantom 2, DJI S1000",Washington,"Aerial imaging for surveying and monitoring. to use sUAVs in support of our current contract with Washington River Protection Solutions BMA 49896 for subsurface investigations (ground scanning), civil surveying, and dome deflection surveying services."
3/12/2015,BNSF Railway Company,Utilities/Energy/Infrastructure,"AirRobot AR180, AirRobot AR200, 3DRobotics Spektre Industrial Multi-Rotor Aerial Vehicle",Texas,Evaluation and analysis of railroad infrastructure and operations.
2/18/2015,BOSH Precision Agriculture DBA Digital Harvest,Agriculture,BOSH Technologies Super Swiper,Virginia,Precision agricultural surveys.
4/17/2015,"Bowman Consulting Group, LTD","Utilities/Energy/Infrastructure, Construction",SenseFly eBee,Virginia,Topographic and feature mapping for the mining and construction industries.
6/8/2015,Brett Baker,"Education, Real Estate",DJI Phantom 2,Washington,Aerial videography and cinematography to enhance academic community awareness and augment real estate listing videos.
6/5/2015,Brian L. Short,Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1",Kansas,"Aerial video and photography to be used in television commercials, weather, traffic and news reports, and sporting events."
4/17/2015,Bruce Pogosaew,"Education, Photo/Film",3DR Plane and Bumblebee–S,Arizona,"Aerial videography and cinematography to enhance academic community awareness for individuals and companies unfamiliar with the geographical layout of the metro Tucson and surrounding areas; augmentation of real estate listing videos; and the creation of visual and topography layout videos for Search and Rescue mission for state and local agencies, education, agricultural inspections and building and construction zone inspections."
4/22/2015,Bryan Cherry,"Photo/Film, Agriculture",DJI Phantom 2 Vision+,Kentucky,"Aerial photography, cinematography, videography, mapping, crop surveying, and inspections."
4/23/2015,Bryan W. Swann,"Photo/Film, Real Estate",DJI Inspire 1,Maryland,Enhancing academic community awareness and augment real estate listing videos and photographs.
3/11/2015,"Build Imagery, LLC","Photo/Film, Construction, Utilities/Energy/Infrastructure","3d Robotics Iris+, DJI Inspire 1",California,"Aerial photography of architectural, engineering, and construction industry sites; motion picture and television operations"
4/17/2015,"Building 10, LLC",Photo/Film,DJI S1000,--,"Aerial photography and filming, including closed-set."
1/23/2015,Burnz Eye View,Photo/Film,"DJI Phantom 2, DJI S100, DJI Inspire",California,"Aerial photography, inspection. (Amended 4/29/15)"
5/4/2015,"Butler, Fairman and Seufert, Inc","Construction, Utilities/Energy/Infrastructure",DJI Phantom 2,Indiana,"Aerial inspection, environmental monitoring, construction monitoring, and preliminary engineering report related imagery for civil engineering projects."
5/5/2015,C.E.T Aviation,Photo/Film,DJI Flame Wheel F550,Connecticut,Aerial filming and photography that will support the needs of the advertising and marketing in a variety of industries.
6/5/2015,"C.H. Fenstermaker & Associates, LLC",Utilities/Energy/Infrastructure,DJI S800,Louisiana,Sending a human observer or using helicopters to inspect such elevated structures carry certain risks. These risks can be avoided by using a small UAS under controlled conditions to photograph and document the state of the equipment.
4/16/2015,Cambervision Inc.,Education,DJI Phantom 2,Massachusetts,"Community training workshops, research and development, and aerial inspections of buildings and land within the United States."
4/24/2015,"Cape Productions, Inc.",Photo/Film,3DRobotics X8+,--,Video filming and observations.
2/13/2015,"Capital Aerial Video, LLC",Real Estate,DJI F550,Texas,Aerial photography of real property.
5/19/2015,Capstone Aviation Corporation,Conservation,DJI Phantom 2 Vision+,Illinois,"Aerial photography/ aerial inspection for business purposes over the following areas; over land, waterways, and oceans; operation over and/or in nonrestricted National Parks, National Forests, and non-navigable airspace using nonintrusive recording devices; and operation in otherwise unrestricted U.S. States and Territories."
6/8/2015,Cardno Limited,"Utilities/Energy/Infrastructure, Government Contracting",Altavian Nova R8400,--,"Aerial acquisitions and research in support of government entities, mining and natural resources, industrial and commercial entities, the petroleum industry, and the country‰Ûªs infrastructure."
6/12/2015,Caribbean Project Management,Construction,DJI Phantom 2,--,Aerial inspections of construction sites.
6/17/2015,"Cayalazac Enterprises, LLC","Photo/Film, Education, Real Estate",DJI Phantom 2 Vision+,Florida,Aerial videography and cinematography to enhance academic community awareness and augment real estate listing pictures and videos.
6/18/2015,CCLD Technologies,Utilities/Energy/Infrastructure,Aibotix X6,Georgia,Inspections for cell phone towers and other tall structures.
5/29/2015,CDG Engineers,Construction,DJI Phantom 2 Vision,Missouri,Aerial inspections or surveys that consist of still photographs or video.
5/13/2015,CDM Smith Inc,Utilities/Energy/Infrastructure,DJI Phantom 2 Vision,Massachusetts,"Aerial acquisitions in support of government entities, agriculture, scientific studies, railroad industry, and the oil and gas industries."
4/17/2015,"Celestial Imaging, LLC",Photo/Film,DJI Inspire 1,Idaho,Aerial photography and videography.
6/16/2015,CellAntenna Corporation,Utilities/Energy/Infrastructure,"DJI S1000 Spreading Wings, DJI Inspire, DJI 450 Flame Wheel Quadcopter, DJI 550 Flame Wheel Hexacopter",Florida,"Visual observation, inspection, and recording and RF signal extension and detection work."
5/1/2015,Chapman Aerospace LLC,"Real Estate, Photo/Film, Utilities/Energy/Infrastructure, Education"," DJI S1000+, DJI S900,",California,"Aerial photography and filming. Company services include: Real Estate Videography and Photography, TV Shows/ Films, Utility Inspections (Power Lines, Wind Turbines, Solar Farmes, Gas & Oil Pipelines), Construction Inspections, Visual Effects (VFX), Prop Drones for Movies, Agriculture Inspections and Data Collection, Sports Events. Company also runs a UAS flight school: Aero Academy."
5/8/2015,"Charles A. Brisbane, Inc.",Photo/Film,DJI Phantom 2 Vision+,New York,"Aerial photography, cinematography, and videography."
6/16/2015,"Charles Franklin, Inc.",Photo/Film,DJI Inspire 1,Texas,Closed-set filming for the motion picture and television industries.
4/8/2015,Charles J Lesowske,Real Estate,DJI Phantom FC40,Oregon,Aerial real estate photography.
